id,path,a,b,c,root_1,root_2,equation
eqn_0281,quadratic/eqn_0281,1,-26,-272,8.0,-34.0,(x - 8)(x + 34) = 0
eqn_0282,quadratic/eqn_0282,3,10,5,-0.6126,-2.7208,3x² + 10x + 5 = 0
eqn_0283,quadratic/eqn_0283,3,3,-8,1.2078,-2.2078,3x² + 3x - 8 = 0
eqn_0284,quadratic/eqn_0284,1,-5,-500,20.0,-25.0,(x - 20)(x + 25) = 0
eqn_0285,quadratic/eqn_0285,4,41,14,-0.3537,-9.8963,41x + 14 = -4x²
eqn_0286,quadratic/eqn_0286,11,-11,1,0.8989,0.1011,11x² - 11x = -1
eqn_0287,quadratic/eqn_0287,1,-40,384,-16.0,-24.0,(x + 16)(x + 24) = 0
eqn_0288,quadratic/eqn_0288,4,5,0,0.0,-1.25,4x² + 5x = 0
eqn_0289,quadratic/eqn_0289,1,7,6,-1.0,-6.0,x² + 7x + 6 = 0
eqn_0290,quadratic/eqn_0290,11,90,79,-1.0,-7.1818,90x + 79 = -11x²
eqn_0291,quadratic/eqn_0291,19,-7,-9,0.8967,-0.5283,19x² - 7x = 9
eqn_0292,quadratic/eqn_0292,1,-12,-160,8.0,-20.0,(x - 8)(x + 20) = 0
eqn_0293,quadratic/eqn_0293,1,3,2,1.0,2.0,(x - 1)(x - 2) = 0
eqn_0294,quadratic/eqn_0294,12,-25,-96,4.0558,-1.9725,12x² - 25x = 96
eqn_0295,quadratic/eqn_0295,1,-6,-135,9.0,-15.0,(x - 9)(x + 15) = 0
eqn_0296,quadratic/eqn_0296,16,-20,3,1.0757,0.1743,16x² - 20x = -3
eqn_0297,quadratic/eqn_0297,1,10,7,-0.7574,-9.2426,x² + 10x + 7 = 0
eqn_0298,quadratic/eqn_0298,1,38,345,23.0,15.0,(x - 23)(x - 15) = 0
eqn_0299,quadratic/eqn_0299,1,26,105,21.0,5.0,(x - 21)(x - 5) = 0
eqn_0300,quadratic/eqn_0300,4,-3,-6,1.6559,-0.9059,4x² - 3x - 6 = 0
eqn_0301,quadratic/eqn_0301,20,5,-76,1.8284,-2.0784,20x² + 5x = 76
eqn_0302,quadratic/eqn_0302,19,19,-41,1.0517,-2.0517,19x² + 19x = 41
eqn_0303,quadratic/eqn_0303,18,20,-96,1.8197,-2.9308,18x² + 20x = 96
eqn_0304,quadratic/eqn_0304,5,89,62,-0.7263,-17.0737,89x + 62 = -5x²
eqn_0305,quadratic/eqn_0305,13,39,2,-0.0522,-2.9478,39x + 2 = -13x²
eqn_0306,quadratic/eqn_0306,3,8,-8,0.7749,-3.4415,3x² + 8x - 8 = 0
eqn_0307,quadratic/eqn_0307,2,8,-1,0.1213,-4.1213,2x² + 8x - 1 = 0
eqn_0308,quadratic/eqn_0308,4,9,-10,0.8155,-3.0655,4x² + 9x - 10 = 0
eqn_0309,quadratic/eqn_0309,1,-14,-15,-15.0,1.0,(x + 15)(x - 1) = 0
eqn_0310,quadratic/eqn_0310,1,3,-1,0.3028,-3.3028,x² + 3x - 1 = 0
eqn_0311,quadratic/eqn_0311,9,55,56,-1.2908,-4.8203,55x + 56 = -9x²
eqn_0312,quadratic/eqn_0312,1,-9,-52,-13.0,4.0,(x + 13)(x - 4) = 0
eqn_0313,quadratic/eqn_0313,15,3,-94,2.4053,-2.6053,15x² + 3x = 94
eqn_0314,quadratic/eqn_0314,16,64,58,-1.3876,-2.6124,64x + 58 = -16x²
eqn_0315,quadratic/eqn_0315,15,76,14,-0.1914,-4.8752,76x + 14 = -15x²
eqn_0316,quadratic/eqn_0316,1,-2,-3,3.0,-1.0,x² - 2x - 3 = 0
eqn_0317,quadratic/eqn_0317,15,89,24,-0.2832,-5.6502,89x + 24 = -15x²
eqn_0318,quadratic/eqn_0318,13,-9,-86,2.9414,-2.2491,13x² - 9x = 86
eqn_0319,quadratic/eqn_0319,6,45,78,-2.7192,-4.7808,45x + 78 = -6x²
eqn_0320,quadratic/eqn_0320,6,59,41,-0.7525,-9.0808,59x + 41 = -6x²
eqn_0321,quadratic/eqn_0321,4,10,5,-0.691,-1.809,4x² + 10x + 5 = 0
eqn_0322,quadratic/eqn_0322,1,-13,36,-9.0,-4.0,(x + 9)(x + 4) = 0
eqn_0323,quadratic/eqn_0323,1,-30,221,-13.0,-17.0,(x + 13)(x + 17) = 0
eqn_0324,quadratic/eqn_0324,1,14,24,2.0,12.0,(x - 2)(x - 12) = 0
eqn_0325,quadratic/eqn_0325,12,21,-75,1.7737,-3.5237,12x² + 21x = 75
eqn_0326,quadratic/eqn_0326,11,24,-86,1.9105,-4.0923,11x² + 24x = 86
eqn_0327,quadratic/eqn_0327,13,-8,-90,2.9568,-2.3414,13x² - 8x = 90
eqn_0328,quadratic/eqn_0328,10,9,-49,1.8089,-2.7089,10x² + 9x = 49
eqn_0329,quadratic/eqn_0329,1,-9,-136,8.0,-17.0,(x - 8)(x + 17) = 0
eqn_0330,quadratic/eqn_0330,10,24,-40,1.1324,-3.5324,10x² + 24x = 40
eqn_0331,quadratic/eqn_0331,1,-3,1,2.618,0.382,x² - 3x + 1 = 0
eqn_0332,quadratic/eqn_0332,20,-16,-78,2.4149,-1.6149,20x² - 16x = 78
eqn_0333,quadratic/eqn_0333,11,-16,-22,2.3175,-0.863,11x² - 16x = 22
eqn_0334,quadratic/eqn_0334,20,20,-99,1.7804,-2.7804,20x² + 20x = 99
eqn_0335,quadratic/eqn_0335,12,-17,-34,2.5346,-1.1179,12x² - 17x = 34
eqn_0336,quadratic/eqn_0336,20,-17,-83,2.506,-1.656,20x² - 17x = 83
eqn_0337,quadratic/eqn_0337,3,9,-7,0.6409,-3.6409,3x² + 9x - 7 = 0
eqn_0338,quadratic/eqn_0338,12,63,60,-1.25,-4.0,63x + 60 = -12x²
eqn_0339,quadratic/eqn_0339,4,9,4,-0.6096,-1.6404,4x² + 9x + 4 = 0
eqn_0340,quadratic/eqn_0340,1,-32,-144,4.0,-36.0,(x - 4)(x + 36) = 0
eqn_0341,quadratic/eqn_0341,1,-6,-616,22.0,-28.0,(x - 22)(x + 28) = 0
eqn_0342,quadratic/eqn_0342,13,22,-38,1.0615,-2.7538,13x² + 22x = 38
eqn_0343,quadratic/eqn_0343,16,-4,-82,2.3923,-2.1423,16x² - 4x = 82
eqn_0344,quadratic/eqn_0344,10,-22,-79,4.1183,-1.9183,10x² - 22x = 79
eqn_0345,quadratic/eqn_0345,3,-2,-4,1.5352,-0.8685,3x² - 2x - 4 = 0
eqn_0346,quadratic/eqn_0346,1,-16,60,-10.0,-6.0,(x + 10)(x + 6) = 0
eqn_0347,quadratic/eqn_0347,5,35,-9,0.2483,-7.2483,35x - 9 = -5x²
eqn_0348,quadratic/eqn_0348,1,43,456,19.0,24.0,(x - 19)(x - 24) = 0
eqn_0349,quadratic/eqn_0349,4,89,43,-0.4941,-21.7559,89x + 43 = -4x²
eqn_0350,quadratic/eqn_0350,14,8,-88,2.2376,-2.8091,14x² + 8x = 88
eqn_0351,quadratic/eqn_0351,1,9,8,1.0,8.0,(x - 1)(x - 8) = 0
eqn_0352,quadratic/eqn_0352,5,9,-4,0.3689,-2.1689,5x² + 9x - 4 = 0
eqn_0353,quadratic/eqn_0353,1,-18,-319,11.0,-29.0,(x - 11)(x + 29) = 0
eqn_0354,quadratic/eqn_0354,12,23,-91,1.9574,-3.8741,12x² + 23x = 91
eqn_0355,quadratic/eqn_0355,5,67,60,-0.965,-12.435,67x + 60 = -5x²
eqn_0356,quadratic/eqn_0356,1,-45,324,-9.0,-36.0,(x + 9)(x + 36) = 0
eqn_0357,quadratic/eqn_0357,1,2,-8,2.0,-4.0,x² + 2x - 8 = 0
eqn_0358,quadratic/eqn_0358,2,6,-5,0.6794,-3.6794,2x² + 6x - 5 = 0
eqn_0359,quadratic/eqn_0359,1,-25,46,-2.0,-23.0,(x + 2)(x + 23) = 0
eqn_0360,quadratic/eqn_0360,1,-16,-561,17.0,-33.0,(x - 17)(x + 33) = 0
eqn_0361,quadratic/eqn_0361,4,92,2,-0.0218,-22.9782,92x + 2 = -4x²
eqn_0362,quadratic/eqn_0362,9,51,3,-0.0594,-5.6072,51x + 3 = -9x²
eqn_0363,quadratic/eqn_0363,5,1,-10,1.3177,-1.5177,5x² + x - 10 = 0
eqn_0364,quadratic/eqn_0364,16,13,-18,0.7295,-1.542,16x² + 13x = 18
eqn_0365,quadratic/eqn_0365,16,-19,-82,2.9342,-1.7467,16x² - 19x = 82
eqn_0366,quadratic/eqn_0366,5,-3,-3,1.1307,-0.5307,5x² - 3x - 3 = 0
eqn_0367,quadratic/eqn_0367,1,21,-100,-4.0,25.0,(x + 4)(x - 25) = 0
eqn_0368,quadratic/eqn_0368,3,0,-8,1.633,-1.633,3x² - 8 = 0
eqn_0369,quadratic/eqn_0369,11,63,77,-1.768,-3.9593,63x + 77 = -11x²
eqn_0370,quadratic/eqn_0370,1,-7,-60,-12.0,5.0,(x + 12)(x - 5) = 0
eqn_0371,quadratic/eqn_0371,3,0,-10,1.8257,-1.8257,3x² - 10 = 0
eqn_0372,quadratic/eqn_0372,3,10,-9,0.737,-4.0704,3x² + 10x - 9 = 0
eqn_0373,quadratic/eqn_0373,11,3,-74,2.4609,-2.7336,11x² + 3x = 74
eqn_0374,quadratic/eqn_0374,7,65,80,-1.4605,-7.8252,65x + 80 = -7x²
eqn_0375,quadratic/eqn_0375,18,2,-15,0.859,-0.9701,18x² + 2x = 15
eqn_0376,quadratic/eqn_0376,13,-8,-61,2.4956,-1.8802,13x² - 8x = 61
eqn_0377,quadratic/eqn_0377,3,59,3,-0.051,-19.6157,59x + 3 = -3x²
eqn_0378,quadratic/eqn_0378,7,-9,0,1.2857,0.0, - 9x = -7x²
eqn_0379,quadratic/eqn_0379,5,3,-2,0.4,-1.0,5x² + 3x - 2 = 0
eqn_0380,quadratic/eqn_0380,1,-7,-368,16.0,-23.0,(x - 16)(x + 23) = 0
eqn_0381,quadratic/eqn_0381,1,5,-1,0.1926,-5.1926,x² + 5x - 1 = 0
eqn_0382,quadratic/eqn_0382,1,-15,-450,15.0,-30.0,(x - 15)(x + 30) = 0
eqn_0383,quadratic/eqn_0383,8,-10,-6,1.693,-0.443, - 10x - 6 = -8x²
eqn_0384,quadratic/eqn_0384,2,7,4,-0.7192,-2.7808,2x² + 7x + 4 = 0
eqn_0385,quadratic/eqn_0385,14,-3,-4,0.6523,-0.438,14x² - 3x = 4
eqn_0386,quadratic/eqn_0386,4,6,-3,0.3956,-1.8956,4x² + 6x - 3 = 0
eqn_0387,quadratic/eqn_0387,1,-38,217,-7.0,-31.0,(x + 7)(x + 31) = 0
eqn_0388,quadratic/eqn_0388,6,55,10,-0.1856,-8.9811,55x + 10 = -6x²
eqn_0389,quadratic/eqn_0389,1,28,115,5.0,23.0,(x - 5)(x - 23) = 0
eqn_0390,quadratic/eqn_0390,7,71,74,-1.1794,-8.9635,71x + 74 = -7x²
eqn_0391,quadratic/eqn_0391,4,5,-8,0.9212,-2.1712,4x² + 5x - 8 = 0
eqn_0392,quadratic/eqn_0392,1,-1,-4,2.5616,-1.5616,x² - x - 4 = 0
eqn_0393,quadratic/eqn_0393,1,2,-80,-8.0,10.0,(x + 8)(x - 10) = 0
eqn_0394,quadratic/eqn_0394,1,6,-6,0.873,-6.873,x² + 6x - 6 = 0
eqn_0395,quadratic/eqn_0395,1,-38,297,-11.0,-27.0,(x + 11)(x + 27) = 0
eqn_0396,quadratic/eqn_0396,1,-8,7,-7.0,-1.0,(x + 7)(x + 1) = 0
eqn_0397,quadratic/eqn_0397,5,56,81,-1.7064,-9.4936,56x + 81 = -5x²
eqn_0398,quadratic/eqn_0398,11,15,-50,1.5566,-2.9202,11x² + 15x = 50
eqn_0399,quadratic/eqn_0399,13,90,74,-0.9536,-5.9695,90x + 74 = -13x²
eqn_0400,quadratic/eqn_0400,4,49,76,-1.822,-10.428,49x + 76 = -4x²
eqn_0401,quadratic/eqn_0401,1,14,-240,-10.0,24.0,(x + 10)(x - 24) = 0
eqn_0402,quadratic/eqn_0402,11,-1,-5,0.7212,-0.6303,11x² - x = 5
eqn_0403,quadratic/eqn_0403,1,31,168,24.0,7.0,(x - 24)(x - 7) = 0
eqn_0404,quadratic/eqn_0404,18,23,-80,1.564,-2.8418,18x² + 23x = 80
eqn_0405,quadratic/eqn_0405,5,50,35,-0.7574,-9.2426,50x + 35 = -5x²
eqn_0406,quadratic/eqn_0406,1,-3,-18,3.0,-6.0,(x - 3)(x + 6) = 0
eqn_0407,quadratic/eqn_0407,18,0,-81,2.1213,-2.1213,18x² = 81
eqn_0408,quadratic/eqn_0408,2,-3,-6,2.6375,-1.1375,2x² - 3x - 6 = 0
eqn_0409,quadratic/eqn_0409,1,1,-9,2.5414,-3.5414,x² + x - 9 = 0
eqn_0410,quadratic/eqn_0410,16,72,46,-0.771,-3.729,72x + 46 = -16x²
eqn_0411,quadratic/eqn_0411,1,15,-154,22.0,-7.0,(x - 22)(x + 7) = 0
eqn_0412,quadratic/eqn_0412,1,10,-5,0.4772,-10.4772,x² + 10x - 5 = 0
eqn_0413,quadratic/eqn_0413,15,-11,0,0.7333,0.0,15x² - 11x = 0
eqn_0414,quadratic/eqn_0414,16,-20,-5,1.4635,-0.2135,16x² - 20x = 5
eqn_0415,quadratic/eqn_0415,10,-6,-26,1.9401,-1.3401,10x² - 6x = 26
eqn_0416,quadratic/eqn_0416,2,9,10,-2.0,-2.5,2x² + 9x + 10 = 0
eqn_0417,quadratic/eqn_0417,11,-18,-94,3.8538,-2.2174,11x² - 18x = 94
eqn_0418,quadratic/eqn_0418,14,65,22,-0.3676,-4.2753,65x + 22 = -14x²
eqn_0419,quadratic/eqn_0419,19,11,-43,1.2425,-1.8215,19x² + 11x = 43
eqn_0420,quadratic/eqn_0420,9,83,80,-1.0935,-8.1287,83x + 80 = -9x²
eqn_0421,quadratic/eqn_0421,16,93,25,-0.2826,-5.5299,93x + 25 = -16x²
eqn_0422,quadratic/eqn_0422,1,26,88,22.0,4.0,(x - 22)(x - 4) = 0
eqn_0423,quadratic/eqn_0423,16,93,69,-0.8731,-4.9394,93x + 69 = -16x²
eqn_0424,quadratic/eqn_0424,5,82,23,-0.2855,-16.1145,82x + 23 = -5x²
eqn_0425,quadratic/eqn_0425,3,10,-9,0.737,-4.0704,3x² + 10x - 9 = 0
eqn_0426,quadratic/eqn_0426,11,11,-29,1.1989,-2.1989,11x² + 11x = 29
eqn_0427,quadratic/eqn_0427,1,10,-5,0.4772,-10.4772,x² + 10x - 5 = 0
eqn_0428,quadratic/eqn_0428,11,1,-74,2.5486,-2.6396,11x² + x = 74
eqn_0429,quadratic/eqn_0429,12,93,57,-0.671,-7.079,93x + 57 = -12x²
eqn_0430,quadratic/eqn_0430,13,19,-82,1.8849,-3.3464,13x² + 19x = 82
eqn_0431,quadratic/eqn_0431,14,93,39,-0.4498,-6.193,93x + 39 = -14x²
eqn_0432,quadratic/eqn_0432,20,-16,-14,1.3274,-0.5274,20x² - 16x = 14
eqn_0433,quadratic/eqn_0433,10,60,3,-0.0504,-5.9496,60x + 3 = -10x²
eqn_0434,quadratic/eqn_0434,4,62,-6,0.0962,-15.5962,62x - 6 = -4x²
eqn_0435,quadratic/eqn_0435,3,-2,-10,2.1893,-1.5226,3x² - 2x - 10 = 0
eqn_0436,quadratic/eqn_0436,3,10,7,-1.0,-2.3333,3x² + 10x + 7 = 0
eqn_0437,quadratic/eqn_0437,16,69,56,-1.0841,-3.2284,69x + 56 = -16x²
eqn_0438,quadratic/eqn_0438,6,53,48,-1.0245,-7.8089,53x + 48 = -6x²
eqn_0439,quadratic/eqn_0439,15,17,-37,1.103,-2.2363,15x² + 17x = 37
eqn_0440,quadratic/eqn_0440,1,9,-252,21.0,-12.0,(x - 21)(x + 12) = 0
eqn_0441,quadratic/eqn_0441,1,4,-77,11.0,-7.0,(x - 11)(x + 7) = 0
eqn_0442,quadratic/eqn_0442,18,10,-21,0.8375,-1.393,18x² + 10x = 21
eqn_0443,quadratic/eqn_0443,10,1,-12,1.0466,-1.1466,10x² + x = 12
eqn_0444,quadratic/eqn_0444,1,9,6,-0.7251,-8.2749,x² + 9x + 6 = 0
eqn_0445,quadratic/eqn_0445,2,6,-10,1.1926,-4.1926,2x² + 6x - 10 = 0
eqn_0446,quadratic/eqn_0446,2,4,1,-0.2929,-1.7071,2x² + 4x + 1 = 0
eqn_0447,quadratic/eqn_0447,1,10,21,7.0,3.0,(x - 7)(x - 3) = 0
eqn_0448,quadratic/eqn_0448,1,10,-4,0.3852,-10.3852,x² + 10x - 4 = 0
eqn_0449,quadratic/eqn_0449,4,90,58,-0.664,-21.836,90x + 58 = -4x²
eqn_0450,quadratic/eqn_0450,5,7,0,0.0,-1.4,5x² + 7x = 0
eqn_0451,quadratic/eqn_0451,1,-4,-165,11.0,-15.0,(x - 11)(x + 15) = 0
eqn_0452,quadratic/eqn_0452,1,9,0,0.0,-9.0,x² + 9x = 0
eqn_0453,quadratic/eqn_0453,18,-8,-63,2.1062,-1.6618,18x² - 8x = 63
eqn_0454,quadratic/eqn_0454,5,50,11,-0.2251,-9.7749,50x + 11 = -5x²
eqn_0455,quadratic/eqn_0455,1,9,15,-2.2087,-6.7913,x² + 9x + 15 = 0
eqn_0456,quadratic/eqn_0456,5,10,2,-0.2254,-1.7746,5x² + 10x + 2 = 0
eqn_0457,quadratic/eqn_0457,19,-12,-24,1.4832,-0.8516,19x² - 12x = 24
eqn_0458,quadratic/eqn_0458,1,-35,250,-10.0,-25.0,(x + 10)(x + 25) = 0
eqn_0459,quadratic/eqn_0459,1,9,-8,0.8151,-9.8151,x² + 9x - 8 = 0
eqn_0460,quadratic/eqn_0460,1,8,-33,-3.0,11.0,(x + 3)(x - 11) = 0
eqn_0461,quadratic/eqn_0461,5,-2,-3,1.0,-0.6,5x² - 2x - 3 = 0
eqn_0462,quadratic/eqn_0462,1,-48,455,-13.0,-35.0,(x + 13)(x + 35) = 0
eqn_0463,quadratic/eqn_0463,2,8,4,-0.5858,-3.4142,2x² + 8x + 4 = 0
eqn_0464,quadratic/eqn_0464,1,-1,-9,3.5414,-2.5414,x² - x - 9 = 0
eqn_0465,quadratic/eqn_0465,8,82,9,-0.111,-10.139,82x + 9 = -8x²
eqn_0466,quadratic/eqn_0466,15,7,-35,1.3119,-1.7786,15x² + 7x = 35
eqn_0467,quadratic/eqn_0467,5,10,4,-0.5528,-1.4472,5x² + 10x + 4 = 0
eqn_0468,quadratic/eqn_0468,1,3,-550,25.0,-22.0,(x - 25)(x + 22) = 0
eqn_0469,quadratic/eqn_0469,2,-3,-10,3.1085,-1.6085,2x² - 3x - 10 = 0
eqn_0470,quadratic/eqn_0470,14,-7,-75,2.578,-2.078,14x² - 7x = 75
eqn_0471,quadratic/eqn_0471,5,9,-6,0.5177,-2.3177,5x² + 9x - 6 = 0
eqn_0472,quadratic/eqn_0472,18,5,-24,1.0241,-1.3019,18x² + 5x = 24
eqn_0473,quadratic/eqn_0473,16,-7,-50,2.0,-1.5625,16x² - 7x = 50
eqn_0474,quadratic/eqn_0474,13,90,76,-0.9844,-5.9387,90x + 76 = -13x²
eqn_0475,quadratic/eqn_0475,1,6,4,-0.7639,-5.2361,x² + 6x + 4 = 0
eqn_0476,quadratic/eqn_0476,5,-3,-2,1.0,-0.4,5x² - 3x - 2 = 0
eqn_0477,quadratic/eqn_0477,2,-3,-4,2.3508,-0.8508,2x² - 3x - 4 = 0
eqn_0478,quadratic/eqn_0478,1,9,-220,-11.0,20.0,(x + 11)(x - 20) = 0
eqn_0479,quadratic/eqn_0479,14,70,9,-0.1321,-4.8679,70x + 9 = -14x²
eqn_0480,quadratic/eqn_0480,9,-4,-9,1.2466,-0.8022, - 4x - 9 = -9x²
eqn_0481,quadratic/eqn_0481,1,6,-7,-1.0,7.0,(x + 1)(x - 7) = 0
eqn_0482,quadratic/eqn_0482,1,1,-30,6.0,-5.0,(x - 6)(x + 5) = 0
eqn_0483,quadratic/eqn_0483,1,-40,364,-14.0,-26.0,(x + 14)(x + 26) = 0
eqn_0484,quadratic/eqn_0484,1,-14,-120,6.0,-20.0,(x - 6)(x + 20) = 0
eqn_0485,quadratic/eqn_0485,1,-45,350,-10.0,-35.0,(x + 10)(x + 35) = 0
eqn_0486,quadratic/eqn_0486,10,67,63,-1.1313,-5.5687,67x + 63 = -10x²
eqn_0487,quadratic/eqn_0487,13,-7,-10,1.1867,-0.6482,13x² - 7x = 10
eqn_0488,quadratic/eqn_0488,3,29,2,-0.0695,-9.5972,29x + 2 = -3x²
eqn_0489,quadratic/eqn_0489,10,55,73,-2.2377,-3.2623,55x + 73 = -10x²
eqn_0490,quadratic/eqn_0490,16,-7,-42,1.8536,-1.4161,16x² - 7x = 42
eqn_0491,quadratic/eqn_0491,5,94,67,-0.7421,-18.0579,94x + 67 = -5x²
eqn_0492,quadratic/eqn_0492,8,87,31,-0.3688,-10.5062,87x + 31 = -8x²
eqn_0493,quadratic/eqn_0493,14,-14,-1,1.0669,-0.0669,14x² - 14x = 1
eqn_0494,quadratic/eqn_0494,10,89,80,-1.0145,-7.8855,89x + 80 = -10x²
eqn_0495,quadratic/eqn_0495,5,9,1,-0.119,-1.681,5x² + 9x + 1 = 0
eqn_0496,quadratic/eqn_0496,16,-10,-33,1.7822,-1.1572,16x² - 10x = 33
eqn_0497,quadratic/eqn_0497,19,1,-8,0.6231,-0.6757,19x² + x = 8
eqn_0498,quadratic/eqn_0498,1,-9,-22,2.0,-11.0,(x - 2)(x + 11) = 0
eqn_0499,quadratic/eqn_0499,5,2,-8,1.0806,-1.4806,5x² + 2x - 8 = 0
eqn_0500,quadratic/eqn_0500,2,9,-7,0.6762,-5.1762,2x² + 9x - 7 = 0
eqn_0501,quadratic/eqn_0501,12,14,-38,1.2894,-2.456,12x² + 14x = 38
eqn_0502,quadratic/eqn_0502,5,8,1,-0.1367,-1.4633,5x² + 8x + 1 = 0
eqn_0503,quadratic/eqn_0503,1,-34,145,-5.0,-29.0,(x + 5)(x + 29) = 0
eqn_0504,quadratic/eqn_0504,1,-7,-120,-15.0,8.0,(x + 15)(x - 8) = 0
eqn_0505,quadratic/eqn_0505,10,67,73,-1.3695,-5.3305,67x + 73 = -10x²
eqn_0506,quadratic/eqn_0506,13,-18,-46,2.6967,-1.3121,13x² - 18x = 46
eqn_0507,quadratic/eqn_0507,14,12,-68,1.8166,-2.6737,14x² + 12x = 68
eqn_0508,quadratic/eqn_0508,20,4,-80,1.9025,-2.1025,20x² + 4x = 80
eqn_0509,quadratic/eqn_0509,1,-13,-264,11.0,-24.0,(x - 11)(x + 24) = 0
eqn_0510,quadratic/eqn_0510,1,8,7,1.0,7.0,(x - 1)(x - 7) = 0
eqn_0511,quadratic/eqn_0511,1,-39,198,-6.0,-33.0,(x + 6)(x + 33) = 0
eqn_0512,quadratic/eqn_0512,1,-26,133,-7.0,-19.0,(x + 7)(x + 19) = 0
eqn_0513,quadratic/eqn_0513,2,8,6,-1.0,-3.0,2x² + 8x + 6 = 0
eqn_0514,quadratic/eqn_0514,12,20,-64,1.6218,-3.2885,12x² + 20x = 64
eqn_0515,quadratic/eqn_0515,3,38,63,-1.9617,-10.705,38x + 63 = -3x²
eqn_0516,quadratic/eqn_0516,1,33,230,10.0,23.0,(x - 10)(x - 23) = 0
eqn_0517,quadratic/eqn_0517,4,1,0,0.0,-0.25,4x² + x = 0
eqn_0518,quadratic/eqn_0518,11,-6,-20,1.6484,-1.103,11x² - 6x = 20
eqn_0519,quadratic/eqn_0519,18,25,-33,0.8273,-2.2161,18x² + 25x = 33
eqn_0520,quadratic/eqn_0520,14,58,41,-0.9043,-3.2386,58x + 41 = -14x²
eqn_0521,quadratic/eqn_0521,7,89,-6,0.0671,-12.7813,89x - 6 = -7x²
eqn_0522,quadratic/eqn_0522,5,-1,-6,1.2,-1.0,5x² - x - 6 = 0
eqn_0523,quadratic/eqn_0523,4,8,0,0.0,-2.0,4x² + 8x = 0
eqn_0524,quadratic/eqn_0524,2,6,-8,1.0,-4.0,2x² + 6x - 8 = 0
eqn_0525,quadratic/eqn_0525,1,33,266,14.0,19.0,(x - 14)(x - 19) = 0
eqn_0526,quadratic/eqn_0526,4,10,-2,0.1861,-2.6861,4x² + 10x - 2 = 0
eqn_0527,quadratic/eqn_0527,9,59,16,-0.2834,-6.2721,59x + 16 = -9x²
eqn_0528,quadratic/eqn_0528,4,7,2,-0.3596,-1.3904,4x² + 7x + 2 = 0
eqn_0529,quadratic/eqn_0529,3,10,7,-1.0,-2.3333,3x² + 10x + 7 = 0
eqn_0530,quadratic/eqn_0530,3,-2,-6,1.7863,-1.1196,3x² - 2x - 6 = 0
eqn_0531,quadratic/eqn_0531,1,25,154,11.0,14.0,(x - 11)(x - 14) = 0
eqn_0532,quadratic/eqn_0532,1,-25,154,-11.0,-14.0,(x + 11)(x + 14) = 0
eqn_0533,quadratic/eqn_0533,5,5,-10,1.0,-2.0,5x² + 5x - 10 = 0
eqn_0534,quadratic/eqn_0534,1,-16,55,-5.0,-11.0,(x + 5)(x + 11) = 0
eqn_0535,quadratic/eqn_0535,5,0,-4,0.8944,-0.8944,5x² - 4 = 0
eqn_0536,quadratic/eqn_0536,3,4,-4,0.6667,-2.0,3x² + 4x - 4 = 0
eqn_0537,quadratic/eqn_0537,5,30,-5,0.1623,-6.1623,30x - 5 = -5x²
eqn_0538,quadratic/eqn_0538,10,-17,-41,3.046,-1.346,10x² - 17x = 41
eqn_0539,quadratic/eqn_0539,1,-26,153,-9.0,-17.0,(x + 9)(x + 17) = 0
eqn_0540,quadratic/eqn_0540,5,8,0,0.0,-1.6,5x² + 8x = 0
eqn_0541,quadratic/eqn_0541,5,8,-10,0.8248,-2.4248,5x² + 8x - 10 = 0
eqn_0542,quadratic/eqn_0542,14,86,51,-0.665,-5.4778,86x + 51 = -14x²
eqn_0543,quadratic/eqn_0543,1,4,-437,23.0,-19.0,(x - 23)(x + 19) = 0
eqn_0544,quadratic/eqn_0544,5,5,-8,0.8601,-1.8601,5x² + 5x - 8 = 0
eqn_0545,quadratic/eqn_0545,1,-13,30,-3.0,-10.0,(x + 3)(x + 10) = 0
eqn_0546,quadratic/eqn_0546,5,9,-1,0.105,-1.905,5x² + 9x - 1 = 0
eqn_0547,quadratic/eqn_0547,1,30,216,12.0,18.0,(x - 12)(x - 18) = 0
eqn_0548,quadratic/eqn_0548,5,75,59,-0.8329,-14.1671,75x + 59 = -5x²
eqn_0549,quadratic/eqn_0549,1,-9,-36,-12.0,3.0,(x + 12)(x - 3) = 0
eqn_0550,quadratic/eqn_0550,1,4,-8,1.4641,-5.4641,x² + 4x - 8 = 0
eqn_0551,quadratic/eqn_0551,1,22,121,11.0,11.0,(x - 11)(x - 11) = 0
eqn_0552,quadratic/eqn_0552,5,1,-7,1.0874,-1.2874,5x² + x - 7 = 0
eqn_0553,quadratic/eqn_0553,11,5,-12,0.8416,-1.2962,11x² + 5x = 12
eqn_0554,quadratic/eqn_0554,10,11,-9,0.5466,-1.6466,11x - 9 = -10x²
eqn_0555,quadratic/eqn_0555,15,-5,-95,2.6888,-2.3555,15x² - 5x = 95
eqn_0556,quadratic/eqn_0556,3,14,-3,0.2053,-4.8719,14x - 3 = -3x²
eqn_0557,quadratic/eqn_0557,7,23,18,-1.2857,-2.0,23x + 18 = -7x²
eqn_0558,quadratic/eqn_0558,13,-1,-24,1.3977,-1.3208,13x² - x = 24
eqn_0559,quadratic/eqn_0559,5,1,-8,1.1689,-1.3689,5x² + x - 8 = 0
eqn_0560,quadratic/eqn_0560,13,25,-98,1.9476,-3.8707,13x² + 25x = 98
eqn_0561,quadratic/eqn_0561,2,8,-5,0.5495,-4.5495,2x² + 8x - 5 = 0
